domain,model,agent_count,n,accuracy,ci_lo,ci_hi,reliable
code,claude_sonnet_4_6,1,1000,0.013,0.006,0.021,True
code,claude_sonnet_4_6,2,1000,0.008,0.003,0.014,True
code,claude_sonnet_4_6,3,1000,0.007,0.0029750000000000015,0.013,True
code,claude_sonnet_4_6,4,1000,0.01,0.004,0.017,True
code,gpt_4o,1,1000,0.094,0.076,0.113,True
code,gpt_4o,2,970,0.0443298969072165,0.030927835051546393,0.0577319587628866,True
code,gpt_4o,3,1000,0.111,0.092,0.131,True
code,gpt_4o,4,1000,0.284,0.257,0.313,True
legal,claude_sonnet_4_6,1,3000,0.8783333333333333,0.8666666666666667,0.8896666666666667,True
legal,claude_sonnet_4_6,2,3000,0.777,0.7619916666666667,0.791,True
legal,claude_sonnet_4_6,3,3000,0.7243333333333334,0.708,0.74,True
legal,claude_sonnet_4_6,4,3000,0.7203333333333334,0.704,0.7356666666666667,True
legal,gpt_4o,1,3000,0.5636666666666666,0.5456666666666666,0.5823333333333334,True
legal,gpt_4o,2,3000,0.44,0.422325,0.4573333333333333,True
legal,gpt_4o,3,3000,0.3423333333333333,0.3259916666666667,0.35933333333333334,True
legal,gpt_4o,4,3000,0.238,0.22266666666666668,0.25266666666666665,True
logic,claude_sonnet_4_6,1,1500,0.18,0.16133333333333333,0.19933333333333333,True
logic,claude_sonnet_4_6,2,1500,0.22266666666666668,0.20133333333333334,0.24466666666666667,True
logic,claude_sonnet_4_6,3,1500,0.20333333333333334,0.18333333333333332,0.224,True
logic,claude_sonnet_4_6,4,1500,0.19666666666666666,0.17666666666666667,0.21733333333333332,True
logic,gpt_4o,1,1470,0.21360544217687075,0.19251700680272107,0.23469387755102042,True
logic,gpt_4o,2,1470,0.38571428571428573,0.36054421768707484,0.4108843537414966,True
logic,gpt_4o,3,1500,0.248,0.226,0.2693333333333333,True
logic,gpt_4o,4,450,0.39111111111111113,0.3466666666666667,0.43555555555555553,False
long_context,claude_sonnet_4_6,1,902,0.03325942350332594,0.022172949002217297,0.045454545454545456,True
long_context,claude_sonnet_4_6,2,902,0.1973392461197339,0.1729490022172949,0.22283813747228381,True
long_context,claude_sonnet_4_6,3,902,0.07427937915742794,0.0565410199556541,0.09090909090909091,True
long_context,claude_sonnet_4_6,4,902,0.015521064301552107,0.007760532150776054,0.024390243902439025,True
long_context,gpt_4o,1,902,0.007760532150776054,0.0022172949002217295,0.013303769401330377,True
long_context,gpt_4o,2,902,0.028824833702882482,0.018847006651884702,0.041019955654102,True
long_context,gpt_4o,3,902,0.0022172949002217295,0.0,0.005543237250554324,True
long_context,gpt_4o,4,902,0.009977827050997782,0.004434589800443459,0.01665742793791559,True
medical,claude_sonnet_4_6,1,150,0.16666666666666666,0.11333333333333333,0.23333333333333334,False
medical,claude_sonnet_4_6,2,5000,0.1902,0.1792,0.2012,True
medical,claude_sonnet_4_6,3,5000,0.2292,0.2178,0.24060499999999999,True
medical,claude_sonnet_4_6,4,5000,0.2502,0.238195,0.2624,True
medical,gpt_4o,1,5000,0.285,0.2726,0.2978,True
medical,gpt_4o,2,5000,0.2582,0.2464,0.2706,True
medical,gpt_4o,3,5000,0.2652,0.2532,0.2768,True
medical,gpt_4o,4,5000,0.2582,0.2458,0.2702,True
