domain,model,acc_1,acc_2,acc_3,acc_4,n_min,spearman_rho,spearman_p,mann_kendall_S,mann_kendall_p,peak_agent,worst_agent,shape,reliability_flag,unreliable_agents
code,claude_sonnet_4_6,0.013,0.008,0.007,0.01,1000,-0.39999999999999997,0.6000000000000001,-2.0,0.7340951823194757,1,3,flat,ok,
code,gpt_4o,0.094,0.0443298969072165,0.111,0.284,970,0.7999999999999999,0.2000000000000001,4.0,0.3081795474670539,4,2,unclear,ok,
legal,claude_sonnet_4_6,0.8783333333333333,0.777,0.7243333333333334,0.7203333333333334,3000,-1.0,0.0,-6.0,0.08942935902899363,1,4,decreasing,ok,
legal,gpt_4o,0.5636666666666666,0.44,0.3423333333333333,0.238,3000,-1.0,0.0,-6.0,0.08942935902899363,1,4,decreasing,ok,
logic,claude_sonnet_4_6,0.18,0.22266666666666668,0.20333333333333334,0.19666666666666666,1500,0.19999999999999998,0.8,0.0,1.0,2,1,inverted_U,ok,
logic,gpt_4o,0.21360544217687075,0.38571428571428573,0.248,0.39111111111111113,450,0.7999999999999999,0.2000000000000001,4.0,0.3081795474670539,4,1,unclear,!unreliable,4
long_context,claude_sonnet_4_6,0.03325942350332594,0.1973392461197339,0.07427937915742794,0.015521064301552107,902,-0.39999999999999997,0.6000000000000001,-2.0,0.7340951823194757,2,4,inverted_U,ok,
long_context,gpt_4o,0.007760532150776054,0.028824833702882482,0.0022172949002217295,0.009977827050997782,902,0.0,1.0,0.0,1.0,2,3,inverted_U,ok,
medical,claude_sonnet_4_6,0.16666666666666666,0.1902,0.2292,0.2502,150,1.0,0.0,6.0,0.08942935902899363,4,1,increasing,!unreliable,1
medical,gpt_4o,0.285,0.2582,0.2652,0.2582,5000,-0.632455532033676,0.367544467966324,-3.0,0.4969058475647681,1,2,unclear,ok,
