domain,model,N,n_questions,modal_share,modal_pred,entropy
legal,gpt_4o,1,3000,0.5726666666666667,a,1.112191047094996
legal,gpt_4o,4,3000,0.642,c,1.0159432198109626
legal,claude_sonnet_4_6,1,3000,0.39366666666666666,a,1.438718707211319
legal,claude_sonnet_4_6,4,3000,0.6503333333333333,a,1.0760228854349798
medical,gpt_4o,1,5000,0.5496,c,1.1333907900447155
medical,gpt_4o,4,5000,0.427,c,1.1337572872191533
logic,gpt_4o,1,1500,0.4166666666666667,a,1.4644383631342763
logic,gpt_4o,4,450,0.2822222222222222,2,1.863595315916857
logic,claude_sonnet_4_6,1,1500,0.45,a,1.6959167981621508
logic,claude_sonnet_4_6,4,1500,0.402,a,1.4265293920929658
long_context,gpt_4o,1,902,0.41019955654101997,a,1.3744543225936956
long_context,gpt_4o,4,902,0.4634146341463415,c,1.3772663210017897
long_context,claude_sonnet_4_6,1,902,0.3946784922394678,a,1.4538373250573877
long_context,claude_sonnet_4_6,4,902,0.3004434589800443,b,1.619834481051756
