domain,model,a1,a2,n_paired,acc_a1,acc_a2,delta_a2_a1,delta_ci_lo,delta_ci_hi,mcnemar_b,mcnemar_c,mcnemar_p,cohen_h
medical,gpt_4o,1,2,5000,0.285,0.2582,-0.02679999999999999,-0.04199999999999998,-0.010599999999999998,880,746,0.0009669062955151306,-0.060270211196133294
medical,gpt_4o,1,3,5000,0.285,0.2652,-0.019799999999999984,-0.034399999999999986,-0.005199999999999982,756,657,0.009107917912163702,-0.044344883391072454
medical,gpt_4o,1,4,5000,0.285,0.2582,-0.02679999999999999,-0.04199999999999998,-0.010995000000000036,815,681,0.000580184926559995,-0.060270211196133294
medical,gpt_4o,2,3,5000,0.2582,0.2652,0.007000000000000006,-0.008199999999999985,0.021600000000000008,721,756,0.3763324196733169,0.01592532780506084
medical,gpt_4o,2,4,5000,0.2582,0.2582,0.0,-0.014400000000000024,0.014800000000000035,703,703,1.0,0.0
medical,gpt_4o,3,4,5000,0.2652,0.2582,-0.007000000000000006,-0.020799999999999985,0.006799999999999974,617,582,0.32614805776690253,-0.01592532780506084
medical,claude_sonnet_4_6,2,3,5000,0.1902,0.2292,0.03899999999999998,0.027794999999999993,0.050799999999999984,354,549,9.137992517639691e-11,0.09589372802468066
medical,claude_sonnet_4_6,2,4,5000,0.1902,0.2502,0.05999999999999997,0.047400000000000025,0.073405,422,722,6.052595575045643e-19,0.14509603615420275
medical,claude_sonnet_4_6,3,4,5000,0.2292,0.2502,0.02099999999999999,0.008599999999999997,0.03340000000000001,447,552,0.0009908142848651306,0.04920230812952209
legal,gpt_4o,1,2,3000,0.5636666666666666,0.44,-0.12366666666666665,-0.14666666666666667,-0.10099999999999998,810,439,5.203364282682258e-26,-0.247969843190335
legal,gpt_4o,1,3,3000,0.5636666666666666,0.3423333333333333,-0.22133333333333333,-0.2433333333333333,-0.19966666666666666,937,273,1.6591364321376052e-85,-0.4484878483248462
legal,gpt_4o,1,4,3000,0.5636666666666666,0.238,-0.32566666666666666,-0.345675,-0.30599166666666666,1130,153,1.980883439487556e-184,-0.6792205521021253
legal,gpt_4o,2,3,3000,0.44,0.3423333333333333,-0.09766666666666668,-0.12000833333333333,-0.0743333333333333,793,500,3.487617422279946e-16,-0.20051800513451123
legal,gpt_4o,2,4,3000,0.44,0.238,-0.202,-0.224,-0.17966666666666667,948,342,3.7673504341489197e-66,-0.4312507089117903
legal,gpt_4o,3,4,3000,0.3423333333333333,0.238,-0.10433333333333333,-0.12366666666666665,-0.08366666666666667,646,333,8.441685325917092e-24,-0.23073270377727906
legal,claude_sonnet_4_6,1,2,3000,0.8783333333333333,0.777,-0.10133333333333328,-0.11499999999999999,-0.08799999999999997,381,77,2.032197587895677e-49,-0.2710382608678361
