domain,model,agents,n,acc,ci_lo,ci_hi
medical,gpt_4o,1,5000,0.285,0.2726,0.2978
medical,gpt_4o,2,5000,0.2582,0.2468,0.27040499999999995
medical,gpt_4o,3,5000,0.2652,0.252595,0.2774
medical,gpt_4o,4,5000,0.2582,0.2466,0.270005
medical,claude_sonnet_4_6,1,0,,,
medical,claude_sonnet_4_6,2,5000,0.1902,0.179595,0.201
medical,claude_sonnet_4_6,3,5000,0.2292,0.218,0.241
medical,claude_sonnet_4_6,4,5000,0.2502,0.2382,0.2616
legal,gpt_4o,1,3000,0.5636666666666666,0.5466666666666666,0.5823333333333334
legal,gpt_4o,2,3000,0.44,0.422,0.45766666666666667
legal,gpt_4o,3,3000,0.3423333333333333,0.3253333333333333,0.35933333333333334
legal,gpt_4o,4,3000,0.238,0.22233333333333333,0.25334166666666663
legal,claude_sonnet_4_6,1,3000,0.8783333333333333,0.866,0.89
legal,claude_sonnet_4_6,2,3000,0.777,0.7626666666666667,0.7916666666666666
legal,claude_sonnet_4_6,3,3000,0.7243333333333334,0.708,0.74
legal,claude_sonnet_4_6,4,3000,0.7203333333333334,0.704,0.7366666666666667
logic,gpt_4o,1,1470,0.21360544217687075,0.19319727891156463,0.23401360544217686
logic,gpt_4o,2,1470,0.38571428571428573,0.3619047619047619,0.4095238095238095
logic,gpt_4o,3,1500,0.248,0.22666666666666666,0.26866666666666666
logic,gpt_4o,4,0,,,
logic,claude_sonnet_4_6,1,1500,0.18,0.16131666666666666,0.19933333333333333
logic,claude_sonnet_4_6,2,1500,0.22266666666666668,0.20131666666666667,0.24333333333333335
logic,claude_sonnet_4_6,3,1500,0.20333333333333334,0.182,0.22466666666666665
logic,claude_sonnet_4_6,4,1500,0.19666666666666666,0.17666666666666667,0.21733333333333332
long_context,gpt_4o,1,902,0.007760532150776054,0.0032982261640798244,0.013303769401330377
long_context,gpt_4o,2,902,0.028824833702882482,0.018847006651884702,0.03991130820399113
long_context,gpt_4o,3,902,0.0022172949002217295,0.0,0.005543237250554324
long_context,gpt_4o,4,902,0.009977827050997782,0.004434589800443459,0.01662971175166297
long_context,claude_sonnet_4_6,1,902,0.03325942350332594,0.022172949002217297,0.045454545454545456
long_context,claude_sonnet_4_6,2,902,0.1973392461197339,0.17184035476718404,0.22286585365853642
long_context,claude_sonnet_4_6,3,902,0.07427937915742794,0.057649667405764965,0.09201773835920177
long_context,claude_sonnet_4_6,4,902,0.015521064301552107,0.007760532150776054,0.024390243902439025
