domain,judge,D,K,S,V
code,gemini,0.16666666666666666,0.5666666666666667,0.43333333333333335,1.0
code,gpt,0.6999999999999998,0.3,0.5,1.0
legal,gemini,0.10000000000000002,0.8000000000000002,0.2333333333333333,0.7666666666666666
legal,gpt,0.4000000000000001,0.8000000000000002,0.3,0.6999999999999998
logic,gemini,0.20000000000000004,0.5,0.26666666666666666,0.7333333333333334
logic,gpt,0.26666666666666666,0.5,0.3666666666666667,0.6999999999999998
long_context,gemini,0.3,0.0,0.5,0.7333333333333334
long_context,gpt,0.4000000000000001,0.20000000000000004,0.3,0.6999999999999998
medical,gemini,0.10000000000000002,0.9333333333333332,0.3666666666666667,0.7333333333333334
medical,gpt,0.20000000000000004,0.8333333333333334,0.20000000000000004,0.6999999999999998
