domain,model,comparison,a2,K,n_paired,baseline_acc,preserve,recover,b_downgrade,c_upgrade,mcnemar_p
medical,gpt_4o,N=1 vs N=2,2,0.8382352941176471,5000,0.285,0.3824561403508772,0.20867132867132868,880,746,0.0009669062955151
medical,gpt_4o,N=1 vs N=3,3,0.8382352941176471,5000,0.285,0.4694736842105263,0.18377622377622377,756,657,0.0091079179121637
medical,gpt_4o,N=1 vs N=4,4,0.8382352941176471,5000,0.285,0.4280701754385965,0.1904895104895105,815,681,0.0005801849265599
legal,gpt_4o,N=1 vs N=2,2,0.807,3000,0.5636666666666666,0.5209934949733885,0.33537051184110006,810,439,5.203364282682258e-26
legal,gpt_4o,N=1 vs N=3,3,0.807,3000,0.5636666666666666,0.44589000591366057,0.20855614973262032,937,273,1.6591364321376052e-85
legal,gpt_4o,N=1 vs N=4,4,0.807,3000,0.5636666666666666,0.33175635718509755,0.11688311688311688,1130,153,1.980883439487556e-184
legal,claude_sonnet_4_6,N=1 vs N=2,2,0.807,3000,0.8783333333333333,0.8554079696394687,0.21095890410958903,381,77,2.032197587895677e-49
legal,claude_sonnet_4_6,N=1 vs N=3,3,0.807,3000,0.8783333333333333,0.8003795066413663,0.17534246575342466,526,64,2.7559117847109863e-91
legal,claude_sonnet_4_6,N=1 vs N=4,4,0.807,3000,0.8783333333333333,0.793168880455408,0.19452054794520549,545,71,1.7160751094983492e-91
logic,gpt_4o,N=1 vs N=2,2,0.23585858585858588,1440,0.2145833333333333,0.39158576051779936,0.385499557913351,188,436,1.20122264639524e-23
logic,gpt_4o,N=1 vs N=3,3,0.23585858585858588,1470,0.2136054421768707,0.554140127388535,0.16695501730103807,140,193,0.0043076974047865
logic,claude_sonnet_4_6,N=1 vs N=2,2,0.23585858585858588,1500,0.18,0.6444444444444445,0.13008130081300814,96,160,7.605297913709952e-05
logic,claude_sonnet_4_6,N=1 vs N=3,3,0.23585858585858588,1500,0.18,0.5259259259259259,0.13252032520325202,128,163,0.0460626885677415
logic,claude_sonnet_4_6,N=1 vs N=4,4,0.23585858585858588,1500,0.18,0.48518518518518516,0.13333333333333333,139,164,0.1678624118789645
long_context,gpt_4o,N=1 vs N=2,2,0.13799999999999998,902,0.007760532150776,0.2857142857142857,0.026815642458100558,5,24,0.0005461126565933
long_context,gpt_4o,N=1 vs N=3,3,0.13799999999999998,902,0.007760532150776,0.0,0.0022346368715083797,7,2,0.1796875
long_context,gpt_4o,N=1 vs N=4,4,0.13799999999999998,902,0.007760532150776,0.42857142857142855,0.0067039106145251395,4,6,0.75390625
long_context,claude_sonnet_4_6,N=1 vs N=2,2,0.13799999999999998,902,0.0332594235033259,0.8,0.17660550458715596,6,154,3.016160199895789e-38
long_context,claude_sonnet_4_6,N=1 vs N=3,3,0.13799999999999998,902,0.0332594235033259,0.3,0.06651376146788991,21,58,3.761512780416609e-05
long_context,claude_sonnet_4_6,N=1 vs N=4,4,0.13799999999999998,902,0.0332594235033259,0.06666666666666667,0.013761467889908258,28,12,0.0165890033749747
