domain,model,a2,K,n_paired,alpha_baseline_acc,preserve,recover,downgrade_1_minus_p,delta_observed,delta_predicted_decomp,helps_iff_recover_gt,condition_satisfied,mcnemar_b_downgrade,mcnemar_c_upgrade,mcnemar_p
medical,gpt_4o,2,0.8382352941176471,5000,0.285,0.3824561403508772,0.20867132867132868,0.6175438596491227,-0.0267999999999999,-0.026799999999999935,0.24615384615384608,False,880,746,0.0009669062955151
medical,gpt_4o,3,0.8382352941176471,5000,0.285,0.4694736842105263,0.18377622377622377,0.5305263157894737,-0.0197999999999999,-0.019799999999999984,0.21146853146853145,False,756,657,0.0091079179121637
medical,gpt_4o,4,0.8382352941176471,5000,0.285,0.4280701754385965,0.1904895104895105,0.5719298245614035,-0.0267999999999999,-0.026799999999999963,0.22797202797202792,False,815,681,0.0005801849265599
legal,gpt_4o,2,0.807,3000,0.5636666666666666,0.5209934949733885,0.33537051184110006,0.47900650502661146,-0.1236666666666666,-0.12366666666666662,0.6187929717341482,False,810,439,5.203364282682258e-26
legal,gpt_4o,3,0.807,3000,0.5636666666666666,0.44589000591366057,0.20855614973262032,0.5541099940863394,-0.2213333333333333,-0.2213333333333333,0.7158135981665393,False,937,273,1.6591364321376052e-85
legal,gpt_4o,4,0.807,3000,0.5636666666666666,0.33175635718509755,0.11688311688311688,0.6682436428149024,-0.3256666666666666,-0.32566666666666666,0.8632543926661574,False,1130,153,1.980883439487556e-184
legal,claude_sonnet_4_6,2,0.807,3000,0.8783333333333333,0.8554079696394687,0.21095890410958903,0.14459203036053125,-0.1013333333333332,-0.10133333333333328,1.0438356164383553,False,381,77,2.032197587895677e-49
legal,claude_sonnet_4_6,3,0.807,3000,0.8783333333333333,0.8003795066413663,0.17534246575342466,0.19962049335863374,-0.1539999999999999,-0.15399999999999994,1.441095890410958,False,526,64,2.7559117847109863e-91
legal,claude_sonnet_4_6,4,0.807,3000,0.8783333333333333,0.793168880455408,0.19452054794520549,0.206831119544592,-0.1579999999999999,-0.15799999999999995,1.493150684931506,False,545,71,1.7160751094983492e-91
logic,gpt_4o,2,0.23585858585858588,1440,0.2145833333333333,0.39158576051779936,0.385499557913351,0.6084142394822006,0.1722222222222222,0.17222222222222222,0.16622458001768342,True,188,436,1.20122264639524e-23
logic,gpt_4o,3,0.23585858585858588,1470,0.2136054421768707,0.554140127388535,0.16695501730103807,0.445859872611465,0.0360544217687074,0.036054421768707504,0.12110726643598614,True,140,193,0.0043076974047865
logic,claude_sonnet_4_6,2,0.23585858585858588,1500,0.18,0.6444444444444445,0.13008130081300814,0.3555555555555555,0.0426666666666666,0.0426666666666667,0.07804878048780486,True,96,160,7.605297913709952e-05
logic,claude_sonnet_4_6,3,0.23585858585858588,1500,0.18,0.5259259259259259,0.13252032520325202,0.4740740740740741,0.0233333333333333,0.02333333333333333,0.10406504065040649,True,128,163,0.0460626885677415
logic,claude_sonnet_4_6,4,0.23585858585858588,1500,0.18,0.48518518518518516,0.13333333333333333,0.5148148148148148,0.0166666666666666,0.016666666666666677,0.1130081300813008,True,139,164,0.1678624118789645
long_context,gpt_4o,2,0.13799999999999998,902,0.007760532150776,0.2857142857142857,0.026815642458100558,0.7142857142857143,0.0210643015521064,0.02106430155210647,0.005586592178770911,True,5,24,0.0005461126565933
long_context,gpt_4o,3,0.13799999999999998,902,0.007760532150776,0.0,0.0022346368715083797,1.0,-0.0055432372505543,-0.00554323725055427,0.007821229050279275,False,7,2,0.1796875
long_context,gpt_4o,4,0.13799999999999998,902,0.007760532150776,0.42857142857142855,0.0067039106145251395,0.5714285714285714,0.0022172949002217,0.00221729490022176,0.004469273743016728,True,4,6,0.75390625
long_context,claude_sonnet_4_6,2,0.13799999999999998,902,0.0332594235033259,0.8,0.17660550458715596,0.19999999999999996,0.1640798226164079,0.164079822616408,0.0068807339449541175,True,6,154,3.016160199895789e-38
long_context,claude_sonnet_4_6,3,0.13799999999999998,902,0.0332594235033259,0.3,0.06651376146788991,0.7,0.041019955654102,0.04101995565410204,0.024082568807339416,True,21,58,3.761512780416609e-05
long_context,claude_sonnet_4_6,4,0.13799999999999998,902,0.0332594235033259,0.06666666666666667,0.013761467889908258,0.9333333333333333,-0.0177383592017738,-0.017738359201773794,0.032110091743119226,False,28,12,0.0165890033749747
