domain,model,D,V,K,S,shape_predicted_H1,peak_predicted_H2,shape_observed,peak_observed
code,claude_sonnet_4_6,0.4333333333333332,1.0,0.4333333333333333,0.4666666666666667,inverted_U,2,insufficient,
code,gemini_2_5_pro,0.4333333333333332,1.0,0.4333333333333333,0.4666666666666667,inverted_U,2,insufficient,3.0
code,gpt_4o,0.4333333333333332,1.0,0.4333333333333333,0.4666666666666667,inverted_U,2,insufficient,
legal,claude_sonnet_4_6,0.25,0.7333333333333332,0.8000000000000002,0.2666666666666666,decreasing,1,decreasing,1.0
legal,gemini_2_5_pro,0.25,0.7333333333333332,0.8000000000000002,0.2666666666666666,decreasing,1,insufficient,2.0
legal,gpt_4o,0.25,0.7333333333333332,0.8000000000000002,0.2666666666666666,decreasing,1,decreasing,1.0
logic,claude_sonnet_4_6,0.2333333333333333,0.7166666666666666,0.5,0.3166666666666666,inverted_U,2,inverted_U,2.0
logic,gemini_2_5_pro,0.2333333333333333,0.7166666666666666,0.5,0.3166666666666666,inverted_U,2,insufficient,4.0
logic,gpt_4o,0.2333333333333333,0.7166666666666666,0.5,0.3166666666666666,inverted_U,2,inverted_U,2.0
long_context,claude_sonnet_4_6,0.35,0.7166666666666666,0.1,0.4,inverted_U,2,inverted_U,2.0
long_context,gpt_4o,0.35,0.7166666666666666,0.1,0.4,inverted_U,2,inverted_U,2.0
medical,claude_sonnet_4_6,0.15,0.7166666666666666,0.8833333333333333,0.2833333333333334,decreasing,1,flat,4.0
medical,gemini_2_5_pro,0.15,0.7166666666666666,0.8833333333333333,0.2833333333333334,decreasing,1,insufficient,1.0
medical,gpt_4o,0.15,0.7166666666666666,0.8833333333333333,0.2833333333333334,decreasing,1,decreasing_weak,1.0
