domain,axis,gpt_mean,gpt_std,gem_mean,gem_std,mae
code,D,0.7120000000000001,0.16859563990779355,0.306,0.24278150082503636,0.41800000000000004
code,K,0.16399999999999998,0.22293039089292754,0.46799999999999997,0.15576015051930303,0.32
code,S,0.264,0.1625812198909348,0.496,0.23815618267628239,0.28800000000000003
code,V,1.0,0.0,1.0,0.0,0.0
legal,D,0.2,0.0,0.09,0.05439837932759935,0.11
legal,K,0.804,0.03475864303027555,0.81,0.05439837932759935,0.026000000000000006
legal,S,0.21200000000000002,0.047979587496419056,0.11200000000000002,0.1002853072844814,0.128
legal,V,0.704,0.019794866372215766,0.716,0.04218520874352403,0.01600000000000001
logic,D,0.138,0.09233921492109891,0.732,0.38142589619179545,0.65
logic,K,0.284,0.1972877314472236,0.18599999999999997,0.27554028558378135,0.166
logic,S,0.268,0.19737046901909194,0.034,0.0688387645894672,0.23800000000000002
logic,V,0.6779999999999999,0.04184519575964802,0.7559999999999999,0.061145527311522015,0.08200000000000003
long_context,D,0.29600000000000004,0.18947833864673433,0.314,0.09899494936611666,0.16999999999999996
long_context,K,0.27399999999999997,0.0852607046364387,0.002,0.014142135623730947,0.272
long_context,S,0.18600000000000003,0.10103545548621098,0.162,0.1627443218232645,0.124
long_context,V,0.7,0.0,0.812,0.07730142433410676,0.11200000000000004
medical,D,0.2,0.0,0.114,0.08573809193213518,0.098
medical,K,0.796,0.09680613912055666,0.878,0.06480740698407861,0.09399999999999999
medical,S,0.11200000000000002,0.032826072265931594,0.1,0.10690449676496974,0.068
medical,V,0.7019999999999998,0.014142135623730961,0.72,0.05714285714285714,0.01800000000000001
