file,domain,model,agents,n,fr_med,fr_max,acc_stored,acc_v2,agree_v2_stored,flags
math_claude_sonnet_4_6_1agent.json,math,claude-sonnet-4-6,1,1300,128,1547,0.8730769230769231,0.9376923076923077,0.9123076923076923,BAD_AR_LEN(45)
math_claude_sonnet_4_6_2agent.json,math,claude-sonnet-4-6,2,1300,877.0,1572,0.8523076923076923,0.7876923076923077,0.7769230769230769,BAD_AR_LEN(49)
math_claude_sonnet_4_6_3agent.json,math,claude-sonnet-4-6,3,1300,866.0,1645,0.8538461538461538,0.8338461538461538,0.8061538461538461,BAD_AR_LEN(46)
math_claude_sonnet_4_6_4agent.json,math,claude-sonnet-4-6,4,1300,851.0,1757,0.8476923076923077,0.8184615384615385,0.8,BAD_AR_LEN(51)
reasoning_claude_sonnet_4_6_1agent.json,reasoning,claude-sonnet-4-6,1,1200,214,1120,0.9641666666666666,0.9183333333333333,0.9541666666666667,BAD_AR_LEN(41)
reasoning_claude_sonnet_4_6_2agent.json,reasoning,claude-sonnet-4-6,2,1200,1314.5,1700,0.9616666666666667,0.9125,0.9508333333333333,BAD_AR_LEN(46)
reasoning_claude_sonnet_4_6_3agent.json,reasoning,claude-sonnet-4-6,3,1200,1306.0,2756,0.96,0.9158333333333334,0.9558333333333333,BAD_AR_LEN(48)
reasoning_claude_sonnet_4_6_4agent.json,reasoning,claude-sonnet-4-6,4,1200,1297.0,2363,0.9625,0.9216666666666666,0.9591666666666666,BAD_AR_LEN(45)
math_gpt_4o_1agent.json,math,gpt-4o,1,1300,259,1536,0.6953846153846154,0.8769230769230769,0.8138461538461539,BAD_AR_LEN(27)
math_gpt_4o_2agent.json,math,gpt-4o,2,1300,1040.0,2726,0.6723076923076923,0.7592307692307693,0.71,BAD_AR_LEN(35)
math_gpt_4o_3agent.json,math,gpt-4o,3,1300,1037.5,3273,0.49846153846153846,0.8353846153846154,0.56,BAD_AR_LEN(6)
math_gpt_4o_4agent.json,math,gpt-4o,4,1300,1011.0,3015,0.3792307692307692,0.8653846153846154,0.4461538461538462,BAD_AR_LEN(40)
reasoning_gpt_4o_1agent.json,reasoning,gpt-4o,1,1200,29.0,1107,0.9258333333333333,0.8216666666666667,0.8875,BAD_AR_LEN(28)
reasoning_gpt_4o_2agent.json,reasoning,gpt-4o,2,1200,1278.0,3021,0.89,0.9116666666666666,0.9033333333333333,BAD_AR_LEN(35)
reasoning_gpt_4o_3agent.json,reasoning,gpt-4o,3,1200,1954,6765,0.9225,0.9016666666666666,0.9075,BAD_AR_LEN(7)
reasoning_gpt_4o_4agent.json,reasoning,gpt-4o,4,1200,1306.0,3844,0.89,0.8766666666666667,0.9716666666666667,BAD_AR_LEN(75)
