domain,model,N,n_paired,alpha,p,r,acc_N,delta_obs,delta_pred,resid
math,claude-sonnet-4-6,2,1300,0.9376923076923077,0.8310090237899918,0.13580246913580246,0.7876923076923077,-0.15000000000000002,-0.15000000000000005,2.7755575615628914e-17
math,claude-sonnet-4-6,3,1300,0.9376923076923077,0.8785890073831009,0.16049382716049382,0.8338461538461538,-0.10384615384615392,-0.1038461538461539,-2.7755575615628914e-17
math,claude-sonnet-4-6,4,1300,0.9376923076923077,0.8662838392124692,0.09876543209876543,0.8184615384615385,-0.11923076923076925,-0.11923076923076928,2.7755575615628914e-17
reasoning,claude-sonnet-4-6,2,1200,0.9183333333333333,0.984573502722323,0.10204081632653061,0.9125,-0.005833333333333357,-0.005833333333333357,0.0
reasoning,claude-sonnet-4-6,3,1200,0.9183333333333333,0.9836660617059891,0.15306122448979592,0.9158333333333334,-0.0024999999999999467,-0.002499999999999976,2.949029909160572e-17
reasoning,claude-sonnet-4-6,4,1200,0.9183333333333333,0.9918330308529946,0.1326530612244898,0.9216666666666666,0.0033333333333332993,0.0033333333333333453,-4.597017211338539e-17
math,gpt-4o,2,1244,0.8922829581993569,0.8081081081081081,0.5373134328358209,0.7789389067524116,-0.11334405144694526,-0.11334405144694536,9.71445146547012e-17
math,gpt-4o,3,1273,0.8955223880597015,0.8675438596491228,0.5639097744360902,0.835820895522388,-0.059701492537313494,-0.05970149253731342,-7.632783294297951e-17
math,gpt-4o,4,1244,0.8946945337620579,0.9182389937106918,0.6106870229007634,0.8858520900321544,-0.008842443729903504,-0.008842443729903504,0.0
reasoning,gpt-4o,2,1143,0.8433945756780402,0.9719917012448133,0.7318435754189944,0.9343832020997376,0.09098862642169736,0.09098862642169729,6.938893903907228e-17
reasoning,gpt-4o,3,1172,0.841296928327645,0.9462474645030426,0.6720430107526881,0.9027303754266212,0.061433447098976135,0.06143344709897617,-3.469446951953614e-17
reasoning,gpt-4o,4,1172,0.841296928327645,0.9117647058823529,0.6935483870967742,0.8771331058020477,0.03583617747440271,0.03583617747440275,-4.163336342344337e-17
