file,domain,model,agents,n,acc_stored,acc_v2,agreement,extract_fail
math_gpt_4o_1agent.json,math,gpt-4o,1,1300,0.7092307692307692,0.8992307692307693,0.8007692307692308,1
math_gpt_4o_2agent.json,math,gpt-4o,2,1300,0.6569230769230769,0.7938461538461539,0.6907692307692308,5
math_gpt_4o_3agent.json,math,gpt-4o,3,1300,0.5023076923076923,0.6476923076923077,0.6992307692307692,7
math_gpt_4o_4agent.json,math,gpt-4o,4,1300,0.36923076923076925,0.5892307692307692,0.6261538461538462,6
reasoning_gpt_4o_1agent.json,reasoning,gpt-4o,1,1200,0.9483333333333334,0.9425,0.9941666666666666,24
reasoning_gpt_4o_2agent.json,reasoning,gpt-4o,2,1200,0.8425,0.875,0.8825,64
reasoning_gpt_4o_3agent.json,reasoning,gpt-4o,3,1200,0.93,0.6691666666666667,0.6891666666666667,6
reasoning_gpt_4o_4agent.json,reasoning,gpt-4o,4,1200,0.86,0.7416666666666667,0.865,120
math_claude_sonnet_4_6_1agent.json,math,claude-sonnet-4-6,1,1300,0.796923076923077,0.7769230769230769,0.8738461538461538,0
math_claude_sonnet_4_6_2agent.json,math,claude-sonnet-4-6,2,1300,0.6807692307692308,0.012307692307692308,0.33153846153846156,5
math_claude_sonnet_4_6_3agent.json,math,claude-sonnet-4-6,3,1300,0.7592307692307693,0.03,0.2692307692307692,112
math_claude_sonnet_4_6_4agent.json,math,claude-sonnet-4-6,4,1300,0.7930769230769231,0.07615384615384616,0.2784615384615385,139
reasoning_claude_sonnet_4_6_1agent.json,reasoning,claude-sonnet-4-6,1,1200,0.9975,0.9333333333333333,0.9358333333333333,27
reasoning_claude_sonnet_4_6_2agent.json,reasoning,claude-sonnet-4-6,2,1200,0.99,0.3325,0.3425,515
reasoning_claude_sonnet_4_6_3agent.json,reasoning,claude-sonnet-4-6,3,1200,0.9916666666666667,0.5433333333333333,0.5516666666666666,401
reasoning_claude_sonnet_4_6_4agent.json,reasoning,claude-sonnet-4-6,4,1200,0.9908333333333333,0.7275,0.7366666666666667,283
